QueryId;QueryText;Gold Standard;Adequate;;;Source;SourceEndpoint;Target;Target Endpoint
11;"PREFIX mo: <http://purl.org/ontology/mo/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>  PREFIX foaf:< http://xmlns.com/foaf/0.1/> SELECT ?uri ?name ?label WHERE { ?uri a mo:MusicArtist; foaf:name ?name; rdfs:label ?label. FILTER ( ?name = ?The Beatles? ). FILTER (lang(?label) = ?en?). }";"PREFIX mo: <http://purl.org/ontology/mo/> SELECT ?uri ?name ?label WHERE { ?uri a mo:MusicArtist; foaf:name ?name; rdfs:label ?label. FILTER(?name = ?The Beatles?). FILTER (lang(?label) = ?en?)}";"PREFIX mo: <http://purl.org/ontology/mo/> SELECT ?uri ?name ?label WHERE { ?uri a mo:MusicArtist; foaf:name ?name; rdfs:label ?label. FILTER(?name = ?The Beatles?). FILTER (lang(?label) = ?en?)}";;;MusicBrainz;http://dbtune.org/musicbrainz/sparql;Jamendo;http://dbtune.org/jamendo/sparql/
12;"PREFIX purlc: <http://purl.org/dc/terms/> PREFIX mo: <http://purl.org/ontology/mo/>   PREFIX foaf:< http://xmlns.com/foaf/0.1/> SELECT (STR(?title) AS ?stitle) ?album WHERE { foaf:made ?album. ?album a mo:SignalGroup; purlc:title ?title. } order by ?title";"PREFIX foaf:< http://xmlns.com/foaf/0.1/>  SELECT (STR(?title) as ?stitle) ?album WHERE {  foaf:made ?album.?album a db-o:MusicalWork;  dc:title ?title} order by ?title";"PREFIX foaf:< http://xmlns.com/foaf/0.1/>  SELECT (STR(?title) as ?stitle) ?album WHERE {  foaf:made ?album.?album a db-o:MusicalWork;  dc:title ?title} order by ?title";;;MusicBrainz;http://dbtune.org/musicbrainz/sparql;Dbpedia;http://dbpedia.org/sparql
13;PREFIX db-r: <http://dbpedia.org/resource/> SELECT ?predicate ?object WHERE { db-r:Barack Obama ?predicate ?object . };PREFIX data-nyt: <http://data. nytimes.com/element/> SELECT ?predicate ?object WHERE { data-nyt:47452218948077706853 ?predicate ?object . };PREFIX data-nyt: <http://data. nytimes.com/element/> SELECT ?predicate ?object WHERE { data-nyt:47452218948077706853 ?predicate ?object . };;;Dbpedia;http://dbpedia.org/sparql;New YorkTmes;http://data-gov.tw.rpi.edu:8080/joseki/sparql/nyt
14;  PREFIX foaf:< http://xmlns.com/foaf/0.1/> PREFIX geonames: <http://www.geonames.org/ontology#> PREFIX db-r: <http://dbpedia.org/resource/>  SELECT ?name ?location WHERE { ?artist foaf:based near db-r:Baden-Baden . ?location geonames:parentFeature ?germany . };PREFIX foaf:< http://xmlns.com/foaf/0.1/> PREFIX data-nyt: <http://data. nytimes.com/element/> PREFIX geonames: <http://www.geonames.org/ontology#>   SELECT ?name ?location WHERE { ?artist foaf:based near data-nyt:N17957130964238223481.  ?location geonames:parentFeature ?germany . };PREFIX foaf:< http://xmlns.com/foaf/0.1/> PREFIX data-nyt: <http://data. nytimes.com/element/> PREFIX geonames: <http://www.geonames.org/ontology#>   SELECT ?name ?location WHERE { ?artist foaf:based near data-nyt:N17957130964238223481.  ?location geonames:parentFeature ?germany . };;;Dbpedia;http://dbpedia.org/sparql;New YorkTmes;http://data-gov.tw.rpi.edu:8080/joseki/sparql/nyt
15;  PREFIX foaf:< http://xmlns.com/foaf/0.1/> PREFIX geonames: <http://www.geonames.org/ontology#>  PREFIX db-r: <http://dbpedia.org/resource/>  SELECT ?name WHERE { db-r:California geonames:name ?name . ?y foaf:isPrimaryTopicOf ?news };PREFIX foaf:< http://xmlns.com/foaf/0.1/> PREFIX data-nyt: <http://data. nytimes.com/element/> PREFIX geonames: <http://www.geonames.org/ontology#>  SELECT ?name WHERE { data-nyt:56975960096322330571 geonames:name ?name . ?y foaf:isPrimaryTopicOf ?news } };PREFIX foaf:< http://xmlns.com/foaf/0.1/> PREFIX data-nyt: <http://data. nytimes.com/element/> PREFIX geonames: <http://www.geonames.org/ontology#>  SELECT ?name WHERE { data-nyt:56975960096322330571 geonames:name ?name . ?y foaf:isPrimaryTopicOf ?news } };;;Dbpedia;http://dbpedia.org/sparql;New YorkTmes;http://data-gov.tw.rpi.edu:8080/joseki/sparql/nyt
16;PREFIX db-r: <http://dbpedia.org/resource/>  SELECT ?y WHERE { ?y ?p db-r:Fernando Alonso };PREFIX bbc-r:<http://www.bbc.co.uk/things/> SELECT ?y WHERE { ?y ?p  bbc-r:f63149e9-c577-40b4-bd88-1efac54228db };PREFIX bbc-r:<http://www.bbc.co.uk/things/> SELECT ?y WHERE { ?y ?p  bbc-r:f63149e9-c577-40b4-bd88-1efac54228db };;;Dbpedia;http://dbpedia.org/sparql;BBC;http://bbc.openlinksw.com/sparql
17;"PREFIX db-r: <http://dbpedia.org/resource/>  PREFIX db-o: <http://dbpedia.org/ontology/> SELECT ?city WHERE { db-r: Seattle 80 Tacoma International Airport a db-o : Airport ; db-o: city ?city . }";"PREFIX bbc-r:<http://www.bbc.co.uk/things/> SELECT ?city WHERE {  bbc-r:d3cbd167-06d7-42c3-b23a-cce2657356c8#id a owl:Thing; ?p ?city .}";"PREFIX bbc-r:<http://www.bbc.co.uk/things/> SELECT ?city WHERE {  bbc-r:d3cbd167-06d7-42c3-b23a-cce2657356c8#id a owl:Thing; ?p ?city .}";;;Dbpedia;http://dbpedia.org/sparql;BBC;http://bbc.openlinksw.com/sparql
18;PREFIX drugbank: <http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT ?drug ?melt WHERE {?drug rdf:type drugbank:drugs . ?drug drugbank:meltingPoint ?melt .};PREFIX db-o: <http://dbpedia.org/ontology/>   SELECT ?drug ?melt WHERE  {?drug rdf:type db-o:drug . ?drug ?p ?melt. };PREFIX db-o: <http://dbpedia.org/ontology/>   SELECT ?drug ?melt WHERE  {?drug rdf:type db-o:drug . ?drug ?p ?melt. };;;Drugbank;http://wifo5-04.informatik.uni-mannheim.de/drugbank/sparql;Dbpedia;http://dbpedia.org/sparql
19;PREFIX drugbank-drugs: <http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/> SELECT ?predicate ?object WHERE { drugbank-drugs:DB00201 ?predicate ?object .};PREFIX kegg: <http://bio2rdf.org/ns/kegg#>   SELECT ?predicate ?object WHERE { kegg:D005281 ?predicate ?object};PREFIX kegg: <http://bio2rdf.org/ns/kegg#>   SELECT ?predicate ?object WHERE { kegg:D005281 ?predicate ?object};;;Drugbank;http://wifo5-04.informatik.uni-mannheim.de/drugbank/sparql;KEGG;http://kegg.bio2rdf.org/sparql
20;PREFIX drugbank-drugs: <http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/> SELECT ?x WHERE {drugbank-drugs:DB00404 rdfs:label ?x .};PREFIX sider: <http://www4.wiwiss.fu-berlin.de/sider/>   SELECT ?x WHERE {sider:2118 rdfs:label ?x .};PREFIX sider: <http://www4.wiwiss.fu-berlin.de/sider/>   SELECT ?x WHERE {sider:2118 rdfs:label ?x .};;;Drugbank;http://wifo5-04.informatik.uni-mannheim.de/drugbank/sparql;SIDER;http://bio2rdf.org/sparql
21;PREFIX sider: <http://www4.wiwiss.fu-berlin.de/sider/resource/> SELECT ?p1 ?y1 ?p2 ?y2 WHERE {sider:1690 ?p1 ?y1 . sider:119607 ?p2 ?y2 .};PREFIX drugbank-drug: <http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/> SELECT ?p1 ?y1 ?p2 ?y2 WHERE {  drugbank-drugs::DB00445 ?p1 ?y1 . drugbank-drugs::DB00580 ?p2 ?y2 .};PREFIX drugbank-drug: <http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/> SELECT ?p1 ?y1 ?p2 ?y2 WHERE {  drugbank-drugs::DB00445 ?p1 ?y1 . drugbank-drugs::DB00580 ?p2 ?y2 .};;;SIDER;http://bio2rdf.org/sparql;Drugbank;http://wifo5-04.informatik.uni-mannheim.de/drugbank/sparql
22;PREFIX drugbank: <http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/>  PREFIX drugbank-drugs: <http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/>  SELECT DISTINCT ?v0 ?v1 WHERE {drugbank-drugs:DB00194 drugbank:molecularWeightAverage ?v0. OPTIONAL { drugbank-drugs:DB00194 drugbank: molecularWeightMono ?v1. } };PREFIX db-r: <http://dbpedia.org/resource/>  PREFIX db-o: <http://dbpedia.org/ontology/>  SELECT DISTINCT ?v0 ?v1 WHERE { db-r:Vidarabine db-o:molecularWeight ?v0 . OPTIONAL {db-r:Vidarabine db-o:molecularWeight ?v1. } .};PREFIX db-r: <http://dbpedia.org/resource/>  PREFIX db-o: <http://dbpedia.org/ontology/>  SELECT DISTINCT ?v0 ?v1 WHERE { db-r:Vidarabine db-o:molecularWeight ?v0 . OPTIONAL {db-r:Vidarabine db-o:molecularWeight ?v1. } .};;;Drugbank;http://wifo5-04.informatik.uni-mannheim.de/drugbank/sparql;Dbpedia;http://dbpedia.org/sparql
23;PREFIX sider: <http://www4.wiwiss.fu-berlin.de/sider/resource/>  SELECT DISTINCT ?x WHERE { sider:8378 sider:drugName ?x. };PREFIX db-r: <http://dbpedia.org/resource/>  PREFIX db-o: <http://dbpedia.org/ontology/>   SELECT DISTINCT ?x WHERE {db-r:Allopurinol db-o:tradename ?x.};PREFIX db-r: <http://dbpedia.org/resource/>  PREFIX db-o: <http://dbpedia.org/ontology/>   SELECT DISTINCT ?x WHERE {db-r:Allopurinol db-o:tradename ?x.};;;SIDER;http://bio2rdf.org/sparql;Dbpedia;http://dbpedia.org/sparql
24;"PREFIX drugbank: <http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/> SELECT DISTINCT ?dr ?br ?disease WHERE { drugbank:drugs/DB00115 drugbank:possibleDiseaseTarget ?disease; rdfs:label ?dr ; drugbank:brandName ?br.}";"PREFIX drugbank-d: <http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/> SELECT DISTINCT ?dr ?br ?disease WHERE { drugbank-d:DB00115 ?p ?disease ; rdfs:label ?dr ; ?p2 ?br . }";"PREFIX drugbank-d: <http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/> SELECT DISTINCT ?dr ?br ?disease WHERE { drugbank-d:DB00115 ?p ?disease ; rdfs:label ?dr ; ?p2 ?br . }";;;Drugbank;http://wifo5-04.informatik.uni-mannheim.de/drugbank/sparql;Diseasome;http://www4.wiwiss.fu-berlin.de/diseasome/sparql
25;PREFIX drugbank: <http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/> SELECT ?IntEffect WHERE { ?Int drugbank:interactionDrug1 drugbank-d:DB01203 . ?Int drugbank:interactionDrug2 drugbank-d:DB00414 . ?Int drugbank:text ?IntEffect .};PREFIX db-r: <http://dbpedia.org/resource/>  SELECT ?IntEffect WHERE { ?Int ?a  db-r:Nadolol. ?Int ?b db-r:Acetohexamide. ?Int ?c ?IntEffect .};PREFIX db-r: <http://dbpedia.org/resource/>  SELECT ?IntEffect WHERE { ?Int ?a  db-r:Nadolol. ?Int ?b db-r:Acetohexamide. ?Int ?c ?IntEffect .};;;Drugbank;http://wifo5-04.informatik.uni-mannheim.de/drugbank/sparql;Dbpedia;http://dbpedia.org/sparql
26;PREFIX sider: <http://www4.wiwiss.fu-berlin.de/sider/>  SELECT ?drug WHERE { ?sider sider:drug name ?drug . ?sider sider:side effect ?effect . FILTER regex (?drug,?Fenofibrate|Aspirin|Rosuvastatin|Levothyroxine|Valsartan?,?i? ) };PREFIX drugbank <http://www4.wiwiss.fu-berlin.de/drugbank/>  SELECT ?drug WHERE{ ?sider drugbank:drug name ?drug . ?sider ?p ?effect . FILTER regex (?drug,?Fenofibrate|Aspirin|Rosuvastatin|Levothyroxine|Valsartan?,?i? ) . };PREFIX drugbank <http://www4.wiwiss.fu-berlin.de/drugbank/>  SELECT ?drug WHERE{ ?sider drugbank:drug name ?drug . ?sider ?p ?effect . FILTER regex (?drug,?Fenofibrate|Aspirin|Rosuvastatin|Levothyroxine|Valsartan?,?i? ) . };;;SIDER;http://bio2rdf.org/sparql;Drugbank;http://wifo5-04.informatik.uni-mannheim.de/drugbank/sparql
27;PREFIX sider: <http://www4.wiwiss.fu-berlin.de/sider/resource/>  SELECT ?se ?sen WHERE {sider:drugs/4095 sider:sideEffect ?se .?se sider:sideEffectName ?sen .};PREFIX drugbank-d: <http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/> SELECT ?se ?sen WHERE { drugbank-d:DB00333 ?p1 ?se. ?se ?p2 ?sen.};PREFIX drugbank-d: <http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/> SELECT ?se ?sen WHERE { drugbank-d:DB00333 ?p1 ?se. ?se ?p2 ?sen.};;;SIDER;http://bio2rdf.org/sparql;Drugbank;http://wifo5-04.informatik.uni-mannheim.de/drugbank/sparql
28;PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>   PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns\#> PREFIX kegg: <http://bio2rdf.org/ns/kegg\#> SELECT ?drugDesc ?cpd WHERE { ?drug drugbank:keggCompoundId ?cpd . ?drug rdfs:label ?drugDesc . ?enzyme kegg:xSubstrate ?cpd . ?enzyme rdf:type kegg:Enzyme .};PREFIX drugbank <http://www4.wiwiss.fu-berlin.de/drugbank/> SELECT ?drugDesc ?cpd WHERE  {  ?drug drugbank:keggCompoundId ?cpd .  ?drug rdfs:label ?drugDesc . ?enzyme ?p1 ?cpd . ?enzyme rdf:type drugbank:drugs. };PREFIX drugbank <http://www4.wiwiss.fu-berlin.de/drugbank/> SELECT ?drugDesc ?cpd WHERE  {  ?drug drugbank:keggCompoundId ?cpd .  ?drug rdfs:label ?drugDesc . ?enzyme ?p1 ?cpd . ?enzyme rdf:type drugbank:drugs. };;;KEGG;http://kegg.bio2rdf.org/sparql;Drugbank;http://wifo5-04.informatik.uni-mannheim.de/drugbank/sparql
29;PREFIX chebi: <http://chem2bio2rdf.org/chebi/> PREFIX foaf:< http://xmlns.com/foaf/0.1/> PREFIX purlc: <http://purl.org/dc/terms/>  SELECT ?drug ?chebiImage WHERE { ?drug foaf:name ?drugBankName . ?chebiDrug purl:title ?drugBankName . ?chebiDrug chebi:image ?chebiImage . };PREFIX foaf:< http://xmlns.com/foaf/0.1/>  SELECT ?drug ?chebiImage WHERE { ?drug foaf:name ?drugBankName .  ?chebiDrug purl:title ?drugBankName . ?chebiDrug ?p1 ?chebiImage . };PREFIX foaf:< http://xmlns.com/foaf/0.1/>  SELECT ?drug ?chebiImage WHERE { ?drug foaf:name ?drugBankName .  ?chebiDrug purl:title ?drugBankName . ?chebiDrug ?p1 ?chebiImage . };;;CHEBI;http://chebi.bio2rdf.org/sparql;Drugbank;http://wifo5-04.informatik.uni-mannheim.de/drugbank/sparql
30;PREFIX drugbank: <http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/>  PREFIX kegg: <http://bio2rdf.org/ns/kegg#>  SELECT ?drug ?keggDrug WHERE { ?drug drugbank:drugCategory drugbank:category/micronutrient . ?drug drugbank:casRegistryNumber ?id . ?keggDrug kegg:xRef ?id . } LIMIT 100;PREFIX kegg: <http://bio2rdf.org/kegg_vocabulary:>  SELECT ?drug ?keggDrug WHERE { ?drug ?p1 ?o1 . ?drug ?p2 ?id . ?keggDrug kegg:xRef ?id . } LIMIT 100;PREFIX kegg: <http://bio2rdf.org/kegg_vocabulary:>  SELECT ?drug ?keggDrug WHERE { ?drug ?p1 ?o1 . ?drug ?p2 ?id . ?keggDrug kegg:xRef ?id . } LIMIT 100;;;Drugbank;http://wifo5-04.informatik.uni-mannheim.de/drugbank/sparql;KEGG;http://kegg.bio2rdf.org/sparql
31;PREFIX bne-r: <http://datos.bne.es/resource/> SELECT DISTINCT ?p ?o WHERE { bne-r:XX1718747 ?p ?o .};PREFIX bnb:  <http://bnb.data.bl.uk/id/person/>   SELECT DISTINCT ?p ?o WHERE { bnb:CervantesSaavedraMiguelde1547-1616 ?p ?o .};PREFIX bnb:  <http://bnb.data.bl.uk/id/person/>   SELECT DISTINCT ?p ?o WHERE { bnb:CervantesSaavedraMiguelde1547-1616 ?p ?o .};;;BNE;http://datos.bne.es/sparql;BNB;http://bnb.data.bl.uk/sparql
32;PREFIX db-o: <http://dbpedia.org/ontology/>   PREFIX db-r: <http://dbpedia.org/resource/> PREFIX foaf:< http://xmlns.com/foaf/0.1/>  SELECT DISTINCT ?label ?author WHERE {db-r:Pride and Prejudice a db-o:Book . db-r:Pride and Prejudice foaf:name ?label . db-r:Pride and Prejudice db-o:author ?author . ?author a db-o:Artist .;PREFIX foaf:< http://xmlns.com/foaf/0.1/> PREFIX dct: <http://purl.org/dc/terms/> SELECT DISTINCT ?label ?author  WHERE { cam:cambrdgedb79f80074f  a ?o . cam:cambrdgedb79f80074f rdfs:label ?label .  cam:cambrdgedb79f80074f dct:creator ?author . ?author a foaf:Person.};PREFIX foaf:< http://xmlns.com/foaf/0.1/> PREFIX dct: <http://purl.org/dc/terms/> SELECT DISTINCT ?label ?author  WHERE { cam:cambrdgedb79f80074f  a ?o . cam:cambrdgedb79f80074f rdfs:label ?label .  cam:cambrdgedb79f80074f dct:creator ?author . ?author a foaf:Person.};;;Dbpedia;http://dbpedia.org/sparql;Cambridge;http://data.lib.cam.ac.uk/endpoint.php
33;PREFIX db-o: <http://dbpedia.org/ontology/>   PREFIX db-r: <http://dbpedia.org/resource/>  SELECT ?a ?birth WHERE {?a db-o:writer db-r:Leo Tolstoy . OPTIONAL { db-r:Leo Tolstoy db-o:dateOfBirth ?birth. }};PREFIX bne-r: <http://datos.bne.es/resource/> SELECT ?a ?birth WHERE { bne-r:XX933715 fr:P2010 ?a . OPTIONAL { bne-r:XX933715 fr:P3040 ?birth. }.};PREFIX bne-r: <http://datos.bne.es/resource/> SELECT ?a ?birth WHERE { bne-r:XX933715 fr:P2010 ?a . OPTIONAL { bne-r:XX933715 fr:P3040 ?birth. }.};;;Dbpedia;http://dbpedia.org/sparql;BNE;http://datos.bne.es/sparql
34;PREFIX dblp-r:  <http://dblp.rkbexplorer.com/id/> PREFIX akt: <http://www.aktors.org/ontology/portal#> SELECT * WHERE {?a akt:has-author dblp-r:person/100007. ?e akt:edited-by dblp-r:person/100007. };PREFIX db-r: <http://dbpedia.org/resource/>  PREFIX db-o: <http://dbpedia.org/ontology/>   SELECT * WHERE {?a db-o:author db-r:Tim Berners-Lee . OPTIONAL {?e db-o:owner db-r:Tim Berners-Lee .}};PREFIX db-r: <http://dbpedia.org/resource/>  PREFIX db-o: <http://dbpedia.org/ontology/>   SELECT * WHERE {?a db-o:author db-r:Tim Berners-Lee . OPTIONAL {?e db-o:owner db-r:Tim Berners-Lee .}};;;DBLP;http://dblp.rkbexplorer.com/sparql/;Dbpedia;http://dbpedia.org/sparql
35;PREFIX db-o: <http://dbpedia.org/ontology/>   SELECT DISTINCT ?a ?r WHERE ?a db-o:publishedIn ?r;PREFIX dblp:  <http://dblp.rkbexplorer.com/> SELECT DISTINCT ?a ?r WHERE {?a ?p ?r};PREFIX dblp:  <http://dblp.rkbexplorer.com/> SELECT DISTINCT ?a ?r WHERE {?a ?p ?r};;;Dbpedia;http://dbpedia.org/sparql;DBLP;http://dblp.rkbexplorer.com/sparql/
